claim_id,policy_id,state,loss_date,incurred_loss,paid_loss,reserve
C96343,P32710,IL,2024-06-18,6765.14,1228.19,5536.950000000001
C90393,P33638,FL,2024-04-12,7819.9,1820.64,5999.259999999999
C73870,P44424,TX,2024-01-06,8513.36,4684.83,3828.5300000000007
C76948,P25370,FL,2024-06-24,2869.6,1022.98,1846.62
C95011,P41182,FL,2024-06-22,7826.56,4117.81,3708.75
C74225,P41182,FL,2024-02-27,1859.33,362.57,1496.76
C14839,P33367,GA,2024-07-18,274.23,249.54,24.690000000000026
C66079,P27818,TX,2024-01-24,9184.88,6783.46,2401.419999999999
C27815,P27818,TX,2024-01-11,4873.11,4466.44,406.6700000000001
C84305,P41436,GA,2024-04-14,5909.07,8863.605,3113.7499999999995
C16755,P41436,GA,2024-05-12,8672.16,5323.09,3349.0699999999997
C22621,P41436,GA,2024-03-27,6557.82,5174.39,1383.4299999999994
C68367,P22225,NC,2024-01-21,8281.28,4492.38,3788.9000000000005
C39918,P22225,NC,2024-02-13,6484.8,1691.73,4793.07
C98319,P22225,NC,2024-04-06,7898.24,2436.06,5462.18
C73703,P19007,GA,2024-07-15,4331.25,3904.41,426.84000000000015
C62715,P33469,FL,2024-06-08,9246.32,4945.7,4300.62
C89643,P33469,FL,2024-06-05,1938.42,152.25,1786.17
C18884,P36095,NC,2024-05-28,1701.15,1428.48,272.6700000000001
C72184,P36095,NC,2024-03-29,2450.74,396.23,2054.5099999999998
C47604,P36095,NC,2024-04-14,3173.91,2627.63,546.2799999999997
C21395,P41426,GA,2024-01-21,9255.01,5005.09,4249.92
C74082,P41426,GA,2024-05-11,5152.86,4769.46,383.39999999999964
C22792,P46344,GA,2024-06-19,8479.11,6744.65,1734.460000000001
C65900,P46344,GA,2024-02-23,5132.7,3496.59,1636.1099999999997
,P46344,GA,2024-01-17,5490.12,2184.87,3305.25
C69154,P47444,IL,2024-05-21,4696.91,4534.85,162.0599999999995
C73129,P42174,IL,2024-04-22,3620.41,994.45,2625.96
C44098,P23454,NC,2024-01-12,3750.91,586.72,3164.1899999999996
C63032,P37069,FL,2024-03-25,7681.24,2735.39,4945.85
C94800,P37069,FL,2024-03-23,3424.3,2761.73,662.5700000000002
C14224,P37069,FL,2024-03-27,2101.53,1702.75,398.7800000000002
C35946,P41479,TX,2024-04-20,2944.93,2763.59,181.3399999999997
C70026,P41479,TX,2024-06-12,409.55,1.46,408.09000000000003
C98571,P41479,TX,2024-02-04,3885.9,627.1,3258.8
C65177,P16391,FL,2024-07-16,9087.67,2465.29,6622.38
C22642,P22694,IL,2024-04-20,5555.72,421.8,5133.92
C74365,P22694,IL,2024-01-30,3420.78,3135.9,284.8800000000001
C25124,P44013,IL,2024-03-19,1131.26,1040.13,91.12999999999988
C75686,P44013,IL,2024-02-05,4746.22,730.44,4015.78
C14249,P42780,IL,2024-03-13,164.19,46.5,117.69
C61433,P38975,TX,2024-04-29,4221.86,2284.44,1937.4199999999996
C11342,P38975,TX,2024-04-03,2918.37,484.39,2433.98
C73362,P33267,TX,2024-07-16,5846.23,2536.17,3310.0599999999995
C62200,P33267,TX,2024-04-05,7418.24,211.0,7207.24
C20106,P28183,GA,2024-05-28,2712.17,2665.01,47.159999999999854
C32477,P30823,NC,2024-03-16,7524.64,7356.52,168.1199999999999
C50570,P30823,NC,2024-06-02,4976.95,1052.02,3924.93
C10878,P23655,FL,2024-04-15,4045.93,3360.33,685.5999999999999
C73279,P23655,FL,2024-06-20,5608.19,1532.83,4075.3599999999997
C92454,P23655,FL,2024-03-06,3985.33,3176.15,809.1799999999998
C53813,P10512,IL,2024-02-05,5672.98,1163.99,4508.99
C35342,P10512,IL,2024-02-16,9757.48,209.01,9548.47
C76740,P44326,FL,2024-02-24,8311.82,7502.14,809.6799999999994
C39917,P48037,NC,2024-07-15,1931.44,1378.09,553.3500000000001
C70046,P48037,NC,2024-03-04,9627.72,2597.54,7030.179999999999
C39229,P48037,NC,2024-03-06,3788.1,3533.21,254.88999999999987
C62431,P9852,TX,2024-04-16,6940.28,5700.02,1240.2599999999993
C59143,P9852,TX,2024-02-13,590.63,885.9449999999999,489.52
C89459,P42871,NC,2024-02-01,1191.33,486.71,704.6199999999999
C76972,P14505,TX,2024-05-04,2023.73,1170.49,853.24
C25087,P14505,TX,2024-05-05,1472.5,1156.9,315.5999999999999
C55726,P14505,TX,2024-01-14,4687.04,4446.92,240.1199999999999
C27170,P21857,IL,2024-01-11,3827.22,1584.68,2242.54
C23873,P12899,IL,2024-02-07,4391.61,3239.12,1152.4899999999998
C13579,P12899,IL,2024-07-12,5795.42,2313.96,3481.46
C20594,P12899,IL,2024-06-24,9122.4,5093.16,4029.24
C72746,P50859,TX,2024-06-01,2173.23,1406.79,766.44
C55609,P41300,FL,2024-01-08,5362.4,2936.45,2425.95
C55686,P41300,FL,2024-01-16,9515.65,4533.37,4982.28
C80153,P41300,FL,2024-07-12,7092.14,1990.84,5101.3
C55171,P40780,FL,2024-04-04,7815.65,486.38,7329.2699999999995
C68834,P40780,FL,2024-03-04,1793.76,1255.19,538.5699999999999
C63619,P17021,FL,2024-02-05,8902.19,8533.5,368.6900000000005
C94674,P17021,FL,2024-04-16,4385.93,870.65,3515.28
C45264,P17021,FL,2024-03-26,8005.51,2794.51,5211.0
C94495,P38224,TX,2024-05-14,8428.02,3808.57,4619.450000000001
C12424,P38224,TX,2024-04-30,2528.28,668.52,1859.7600000000002
C41708,P38224,TX,2024-03-06,395.56,365.86,29.69999999999999
C79867,P17043,FL,2024-04-22,2745.82,89.95,2655.8700000000003
C19604,P22576,TX,2024-07-07,1288.46,346.17,942.29
C58739,P22576,TX,2024-03-29,9794.1,5044.67,4749.43
C46548,P22576,TX,2024-06-24,1306.59,276.7,1029.8899999999999
C22553,P37888,IL,2024-01-23,9605.45,236.51,9368.94
C68825,P37888,IL,2024-07-16,5201.15,2863.05,2338.0999999999995
C63176,P36722,TX,2024-06-14,3895.33,776.16,3119.17
C79427,P36722,TX,2024-03-09,3646.02,3121.98,524.04
C50209,P36722,TX,2024-03-16,1057.84,265.59,792.25
C67601,P45651,FL,2024-01-07,5307.21,5030.72,276.4899999999998
,P13761,FL,2024-04-22,213.69,190.41,23.28
C27887,P14461,FL,2024-03-14,1948.21,1846.68,101.52999999999997
C69049,P14461,FL,2024-03-20,2935.28,2889.39,45.89000000000033
C21134,P11468,NC,2024-01-01,2630.35,1687.23,943.1199999999999
C16347,P11468,NC,2024-04-02,7925.24,2234.73,5690.51
C90946,P11468,NC,2024-04-01,9887.24,9837.81,49.43000000000029
C96126,P14369,FL,2024-05-19,2100.67,708.22,1392.45
C98058,P31575,TX,2024-01-02,5872.2,1431.55,4440.65
C60208,P31575,TX,2024-01-05,7173.42,3895.21,3278.21
C60647,P36324,FL,2024-02-29,4229.08,1656.81,2572.27
C81053,P36324,FL,2024-07-02,8321.77,532.35,7789.42
C88858,P36324,FL,2024-04-25,4581.68,1667.44,2914.2400000000002
C32777,P13770,GA,2024-05-25,1687.83,1224.3,463.53
C50465,P42281,GA,2024-05-05,1511.2,1147.32,363.8800000000001
C41510,P42281,GA,2024-05-19,5899.48,1033.87,4865.61
C61124,P42281,GA,2024-06-13,7518.95,106.45,7412.5
C76092,P40764,FL,2024-01-13,6653.13,6643.88,9.25
C99158,P40764,FL,2024-04-03,7212.81,5637.78,1575.0300000000007
,P40764,FL,2024-05-08,1760.14,871.4,888.7400000000001
C78418,P37684,GA,2024-05-27,8269.79,658.18,7611.610000000001
C40301,P50426,IL,2024-07-10,3145.57,2556.83,588.7400000000002
C71756,P50426,IL,2024-06-18,5010.68,3464.79,1545.8900000000003
C60126,P25419,TX,2024-04-24,4605.64,2109.2,2496.4400000000005
C97906,P15888,FL,2024-06-28,851.2,605.34,245.86
C96366,P15888,FL,2024-05-28,7299.97,872.11,6427.860000000001
C92355,P10555,NC,2024-06-24,1939.89,457.86,1482.0300000000002
C89737,P10555,NC,2024-03-30,1925.56,160.82,-1.0
C21872,P10555,NC,2024-04-17,7249.77,7034.54,215.23000000000047
C24530,P28572,FL,2024-07-03,4790.55,929.07,3861.48
C70841,P28572,FL,2024-04-04,2800.4,1334.89,1465.51
C70512,P43528,NC,2024-01-05,1738.07,750.94,987.1299999999999
C47292,P43528,NC,2024-06-04,5073.48,3760.95,1312.5299999999997
C43223,P43528,NC,2024-03-09,2572.6,894.93,1677.67
C22172,P27367,FL,2024-01-13,9297.88,8410.84,887.039999999999
C72679,P27367,FL,2024-02-03,9227.79,4086.31,5141.480000000001
C87043,P43413,GA,2024-06-23,8062.9,4033.75,4029.1499999999996
C34313,P20888,TX,2024-06-13,1537.54,1147.13,390.40999999999985
C35862,P27438,IL,2024-04-21,5445.01,1612.46,3832.55
C69080,P27438,IL,2024-05-04,7412.88,370.25,7042.63
C74936,P24442,GA,2024-07-12,9273.91,5548.01,3725.8999999999996
C20712,P24442,GA,2024-06-22,9036.15,7673.21,1362.9399999999996
C86565,P50351,TX,2024-05-26,3951.66,3321.1,630.56
C22820,P50351,TX,2024-01-18,4258.35,3759.22,499.13000000000056
C31084,P50351,TX,2024-06-17,8748.04,3980.44,4767.6
C86048,P28395,FL,2024-02-21,1549.68,747.89,801.7900000000001
C16031,P29630,GA,2024-07-09,5567.63,870.05,4697.58
C48303,P29630,GA,2024-04-12,7256.87,94.55,7162.32
C53229,P7328,TX,2024-04-27,4807.48,445.41,4362.07
C14945,P27795,TX,2024-04-13,87.63,14.62,73.00999999999999
C91966,P50446,TX,2024-04-04,4918.11,946.44,3971.6699999999996
C18516,P50446,TX,2024-03-02,484.63,310.64,173.99
C23932,P13398,GA,2024-02-16,5177.04,3063.86,2113.18
C50919,P13398,GA,2024-06-01,3081.7,2394.21,687.4899999999998
C21167,P13398,GA,2024-01-06,942.92,637.61,305.30999999999995
C72220,P39760,IL,2024-04-23,7138.3,3530.33,3607.9700000000003
C74079,P39760,IL,2024-06-12,2390.2,85.87,-1.0
C20618,P39760,IL,2024-01-30,1275.02,948.63,326.39
C53314,P29521,FL,2024-01-29,1826.38,1474.5,351.8800000000001
C45741,P41323,NC,2024-04-09,3648.49,1848.38,1800.1099999999997
C49577,P41323,NC,2024-05-02,2325.76,434.32,1891.4400000000003
C83758,P22594,NC,2024-05-26,8947.98,1094.11,7853.87
C33951,P22594,NC,2024-03-22,8679.93,714.7,7965.2300000000005
C13885,P22594,NC,2024-01-12,8955.1,6999.63,1955.4700000000003
C17965,P23180,GA,2024-06-09,9009.4,5797.51,3211.8899999999994
C87747,P16718,IL,2024-02-15,385.07,272.13,112.94
C72796,P16718,IL,2024-04-01,4719.82,1665.19,3054.6299999999997
C36764,P43385,GA,2024-03-28,5023.11,4649.96,373.14999999999964
C82456,P3495,GA,2024-01-15,9914.54,3684.15,6230.390000000001
C32346,P20299,TX,2024-03-13,3021.6,2502.87,518.73
C51032,P20299,TX,2024-01-16,894.43,71.62,822.81
C17164,P20299,TX,2024-03-31,825.11,629.99,195.12
C90922,P18759,TX,2024-03-26,5629.6,4482.31,1147.29
C16613,P18759,TX,2024-07-03,8802.0,2531.82,6270.18
C97910,P26047,TX,2024-04-30,9195.33,6945.04,-1.0
C19643,P26047,TX,2024-03-15,1025.81,659.61,366.19999999999993
C72870,P48602,FL,2024-02-14,6809.99,1920.25,4889.74
C25490,P6423,IL,2024-01-18,6518.1,572.63,5945.47
C84509,P6423,IL,2024-04-06,6985.31,24.76,6960.55
C45859,P6423,IL,2024-06-26,4450.1,859.15,3590.9500000000003
C91441,P40799,TX,2024-01-07,5369.89,3349.16,2020.7300000000005
C36979,P40799,TX,2024-05-16,5542.15,3467.73,2074.4199999999996
C57835,P40799,TX,2024-03-12,6714.32,5262.53,1451.79
C93175,P17124,NC,2024-02-11,8876.52,5591.81,3284.71
C41385,P46917,NC,2024-07-11,5375.63,4855.51,520.1199999999999
C33039,P46917,NC,2024-07-13,7999.94,6013.83,1986.1099999999997
C47328,P46917,NC,2024-04-26,5816.4,2916.68,2899.72
C96831,P19515,IL,2024-04-10,6109.21,4756.86,1352.3500000000004
C81604,P19515,IL,2024-07-18,7869.79,6026.7,1843.0900000000001
C38661,P49106,IL,2024-05-07,3499.42,3376.49,122.93000000000029
C49475,P49106,IL,2024-03-21,3190.97,137.26,3053.71
,P49106,IL,2024-05-30,2784.05,387.38,2396.67
C50381,P23850,FL,2024-04-06,9682.94,4434.75,5248.1900000000005
C18751,P23850,FL,2024-02-14,7043.71,5935.89,1107.8199999999997
C47417,P24019,TX,2024-05-04,5272.65,2086.94,3185.7099999999996
C14147,P15897,IL,2024-03-11,5310.91,2278.25,3032.66
C29483,P15897,IL,2024-02-04,4337.8,2918.1,1419.7000000000003
C80960,P14804,FL,2024-06-14,1513.47,539.77,973.7
C28741,P42297,IL,2024-04-17,6566.6,440.21,6126.39
C83866,P42297,IL,2024-02-04,1044.49,841.79,202.70000000000005
C28461,P42297,IL,2024-01-13,2685.37,410.76,2274.6099999999997
C41117,P1747,IL,2024-03-19,6012.06,5693.19,318.8700000000008
C84622,P26452,NC,2024-02-25,568.66,59.11,509.54999999999995
C89052,P9498,TX,2024-03-03,8698.96,6449.54,2249.419999999999
C39215,P9498,TX,2024-01-14,4255.19,2318.95,1936.2399999999998
C47509,P9498,TX,2024-06-16,1258.56,1184.28,74.27999999999997
C29602,P21767,NC,2024-07-19,2030.85,1558.93,471.91999999999985
C72586,P21767,NC,2024-03-11,9978.88,2685.48,7293.4
C41016,P36614,FL,2024-02-03,8974.45,6552.55,2421.9000000000005
C97155,P36614,FL,2024-05-15,7573.66,3277.11,4296.549999999999
C71173,P31645,NC,2024-03-02,4599.09,4367.27,231.8199999999997
C29345,P4750,IL,2024-01-26,8626.02,5626.6,2999.42
C23109,P4750,IL,2024-05-01,3742.71,1889.32,1853.39
C75846,P4750,IL,2024-02-26,4598.08,2469.98,2128.1
C45380,P45470,IL,2024-03-25,8980.37,3246.26,5734.110000000001
C56036,P45470,IL,2024-01-02,8309.45,714.93,7594.52
C96888,P45470,IL,2024-01-15,1666.77,324.48,1342.29
C53939,P4976,IL,2024-03-05,3625.53,609.34,3016.19
C62315,P4976,IL,2024-05-26,7918.76,4974.42,2944.34
C81055,P4976,IL,2024-04-10,7584.19,2981.59,4602.599999999999
C23463,P4593,TX,2024-02-18,2956.31,746.38,2209.93
,P4593,TX,2024-03-27,649.66,133.26,516.4
C33097,P4593,TX,2024-05-03,3402.21,3116.78,285.42999999999984
C99399,P1225,GA,2024-02-26,9792.97,3346.2,6446.7699999999995
C59048,P16428,TX,2024-07-05,6118.7,2950.09,3168.6099999999997
C44883,P16428,TX,2024-01-28,6678.11,1187.34,5490.7699999999995
C54682,P16428,TX,2024-02-21,8444.83,4498.72,3946.1099999999997
C37281,P4296,NC,2024-01-26,6653.98,5316.77,1337.2099999999991
C74359,P4296,NC,2024-03-25,5544.02,1208.87,4335.150000000001
C87007,P4296,NC,2024-03-03,3313.33,363.45,2949.88
C42680,P9187,FL,2024-03-23,2048.55,576.98,1471.5700000000002
C47139,P9187,FL,2024-02-28,7761.09,1515.29,6245.8
C58597,P9187,FL,2024-01-04,7795.6,7244.64,550.96
C93255,P15740,NC,2024-05-28,5786.57,3265.47,2521.1
C45126,P15740,NC,2024-02-03,5989.65,5486.8,502.84999999999945
C97515,P15740,NC,2024-01-13,6748.25,5950.75,797.5
,P28884,TX,2024-07-08,9945.23,3024.25,6920.98
C96634,P28884,TX,2024-03-05,2049.86,659.2,1390.66
C40992,P22834,TX,2024-04-20,4590.56,1545.24,3045.3200000000006
C82248,P41829,IL,2024-07-04,6031.33,5744.86,286.47000000000025
C70398,P41829,IL,2024-07-16,3878.55,1310.9,2567.65
C94039,P41829,IL,2024-07-08,720.13,646.21,73.91999999999996
C48341,P35881,TX,2024-02-20,2615.79,1961.55,654.24
C54227,P35881,TX,2024-03-12,1000.32,679.76,320.56000000000006
C46334,P35881,TX,2024-02-05,3525.7,1440.79,2084.91
C69637,P35068,FL,2024-06-23,1218.88,862.82,356.06000000000006
C65878,P11562,IL,2024-05-01,6121.24,384.73,5736.51
C91985,P11562,IL,2024-01-27,8370.35,3918.55,4451.8
C19938,P11562,IL,2024-04-24,4536.69,619.62,3917.0699999999997
C87972,P9142,TX,2024-05-26,61.98,8.86,53.12
C89339,P31112,IL,2024-07-10,7858.03,2928.98,4929.049999999999
C81243,P31112,IL,2024-02-20,9813.02,2574.65,7238.370000000001
C58837,P2977,FL,2024-04-07,2673.71,1539.55,1134.16
C90024,P12559,TX,2024-01-29,3167.01,154.11,3012.9
C16300,P12559,TX,2024-05-06,8715.42,4453.37,4262.05
C83541,P12559,TX,2024-06-05,3078.82,903.83,2174.9900000000002
,P36438,TX,2024-04-25,4211.89,2948.29,1263.6000000000004
C88035,P36438,TX,2024-03-14,2687.34,2107.09,580.25
C77083,P7776,GA,2024-03-14,402.08,335.3,66.77999999999997
C16084,P38503,GA,2024-06-10,1162.83,172.06,990.77
C35616,P38503,GA,2024-01-23,4043.96,1391.55,2652.41
C48848,P31611,TX,2024-05-08,1418.4,1356.63,61.76999999999998
C45860,P31611,TX,2024-03-12,867.42,103.34,764.0799999999999
C90358,P31611,TX,2024-06-26,2194.48,1985.68,208.79999999999995
C22905,P47824,NC,2024-07-09,2080.68,1444.71,635.9699999999998
C79077,P47824,NC,2024-01-01,3831.33,1240.28,2591.05
C58187,P39954,GA,2024-02-25,6372.22,746.36,5625.860000000001
C29891,P39954,GA,2024-04-21,9015.61,5410.41,3605.2000000000007
C74875,P50452,NC,2024-04-01,8847.86,1332.2,7515.660000000001
C84765,P50452,NC,2024-01-22,5579.94,1796.63,3783.3099999999995
C20163,P39100,NC,2024-03-31,5243.26,5019.74,223.52000000000044
C48449,P39100,NC,2024-01-24,1984.24,281.35,1702.8899999999999
C59393,P28120,GA,2024-07-11,2950.1,1145.82,1804.28
C68324,P45503,NC,2024-06-12,9369.12,5920.84,3448.2800000000007
C72377,P45503,NC,2024-01-01,2694.41,555.33,2139.08
C21627,P21510,FL,2024-06-05,9223.21,6256.3,2966.909999999999
C37101,P21510,FL,2024-04-29,8.93,6.76,2.17
C21713,P21510,FL,2024-04-12,3404.65,3314.79,89.86000000000013
C93894,P18356,NC,2024-06-03,1118.79,275.49,843.3
C53634,P18356,NC,2024-01-28,6109.86,5791.61,318.25
C85333,P17677,GA,2024-07-19,7521.36,3331.82,4189.539999999999
C36794,P17677,GA,2024-05-31,8528.64,4919.46,3609.1799999999994
C35353,P17677,GA,2024-07-07,6443.95,2258.06,4185.889999999999
C85066,P8561,TX,2024-01-31,6757.46,3861.77,2895.69
C93809,P42704,TX,2024-02-08,7911.02,2791.47,5119.550000000001
C66751,P42546,GA,2024-05-28,3774.33,2408.36,1365.9699999999998
C31873,P42546,GA,2024-06-29,9305.01,4489.12,4815.89
C76392,P37854,IL,2024-02-03,5035.11,1302.69,3732.4199999999996
C14197,P40505,GA,2024-03-15,2122.27,24.23,2098.04
C16395,P40505,GA,2024-05-16,3930.77,2116.23,1814.54
C96319,P38190,FL,2024-01-12,4431.39,1848.44,2582.9500000000003
C81559,P38190,FL,2024-01-17,9852.14,5981.66,3870.4799999999996
C92940,P6728,FL,2024-01-10,1783.09,970.72,812.3699999999999
C45059,P42558,IL,2024-03-18,45.56,16.56,29.000000000000004
C41055,P37615,FL,2024-04-23,1063.49,895.64,167.85000000000002
C76572,P37615,FL,2024-03-07,1540.27,155.67,1384.6
C67280,P12919,GA,2024-05-19,8343.9,2236.74,6107.16
C22568,P12919,GA,2024-06-02,1354.59,1100.93,253.65999999999985
C24661,P12919,GA,2024-03-13,5908.19,1190.47,4717.719999999999
C38641,P41813,FL,2024-03-12,6340.45,389.7,5950.75
C10988,P41813,FL,2024-03-14,6165.58,2421.7,3743.88
C43497,P43696,IL,2024-04-27,2682.76,1118.31,1564.4500000000003
C87474,P7067,NC,2024-03-21,8598.92,188.9,8410.02
C25949,P7067,NC,2024-05-14,7326.05,3688.98,3637.07
C62023,P7067,NC,2024-03-25,2030.72,1820.0,210.72000000000003
C86200,P15922,TX,2024-01-28,9364.15,13.03,9351.119999999999
C19001,P15922,TX,2024-03-28,3562.82,2101.13,1461.69
C44907,P15922,TX,2024-07-09,4174.41,1666.95,2507.46
C39877,P17816,TX,2024-02-20,9732.46,7696.4,2036.0599999999995
C32978,P17816,TX,2024-02-08,8349.65,5947.36,2402.29
C23561,P32326,GA,2024-02-25,6756.26,4497.86,2258.4000000000005
C13285,P32326,GA,2024-02-04,7117.53,2401.01,4716.5199999999995
C49158,P32269,FL,2024-02-04,2834.19,2075.05,759.1399999999999
C59606,P14908,IL,2024-05-23,7391.61,6455.18,936.4299999999994
C23454,P14908,IL,2024-05-10,4897.87,4110.2,787.6700000000001
C25992,P50967,FL,2024-01-31,5975.57,3429.72,2545.85
C91040,P49795,GA,2024-04-21,287.95,60.67,227.27999999999997
C92840,P49795,GA,2024-07-02,8750.47,4360.21,4390.259999999999
C79617,P49795,GA,2024-06-10,8657.74,4977.08,3680.66
C33360,P48496,TX,2024-04-11,1335.32,30.52,1304.8
C84787,P21996,IL,2024-03-18,5846.21,4409.83,1436.38
C61974,P21996,IL,2024-01-14,2037.92,1882.96,154.96000000000004
C15009,P15966,FL,2024-07-07,3810.95,1165.53,2645.42
C88320,P15966,FL,2024-04-13,7826.04,1.19,7824.85
C19983,P35386,GA,2024-05-09,754.0,704.09,49.90999999999997
C56117,P35386,GA,2024-06-11,4858.33,3360.34,1497.9899999999998
C81867,P13686,FL,2024-01-04,3384.12,1129.86,2254.26
C34399,P28264,FL,2024-03-18,3389.56,156.65,3232.91
C89460,P28264,FL,2024-01-30,3131.98,593.45,2538.5299999999997
C49922,P2135,FL,2024-02-07,6085.82,4144.75,1941.0699999999997
C63550,P2135,FL,2024-04-15,9014.35,5486.33,3528.0200000000004
C24648,P48205,FL,2024-04-04,9895.47,4473.15,5422.32
C79632,P41781,TX,2024-04-16,6179.31,4470.65,1708.6600000000008
C63363,P14865,GA,2024-05-30,9060.14,2154.42,6905.719999999999
C56337,P14865,GA,2024-02-10,8164.75,5511.73,2653.0200000000004
C63854,P14865,GA,2024-05-14,5115.06,3063.34,2051.7200000000003
C88906,P36965,GA,2024-03-15,8794.83,3775.32,5019.51
C20739,P36965,GA,2024-05-10,8271.75,7488.19,783.5600000000004
C70201,P30979,IL,2024-01-08,8817.43,8140.52,676.9099999999999
C21956,P30979,IL,2024-01-12,5694.29,600.25,5094.04
C35058,P30979,IL,2024-01-30,5214.08,533.09,4680.99
C76103,P3314,FL,2024-05-23,3150.96,1151.06,1999.9
C92576,P7154,TX,2024-03-09,9927.51,5491.43,4436.08
C14664,P7154,TX,2024-07-16,2278.17,1318.78,959.3900000000001
C20385,P7154,TX,2024-03-22,8275.15,4932.06,3343.0899999999992
C58638,P40094,FL,2024-05-14,9824.09,1106.46,8717.630000000001
C89406,P40094,FL,2024-06-08,1688.03,978.72,709.31
C12874,P40094,FL,2024-04-22,597.19,570.91,26.280000000000086
C94815,P24528,FL,2024-03-21,3717.56,2759.91,957.6500000000001
C64179,P24528,FL,2024-05-07,6187.38,2811.24,3376.1400000000003
C90530,P23571,GA,2024-05-29,9795.16,9787.52,7.639999999999418
C76861,P23677,TX,2024-05-29,6793.28,4413.05,2380.2299999999996
C36902,P45953,GA,2024-02-07,4519.86,1852.23,2667.6299999999997
C46203,P45953,GA,2024-07-01,5742.67,4730.29,1012.3800000000001
C95772,P21917,FL,2024-05-21,684.39,85.98,598.41
C11813,P21917,FL,2024-06-19,6287.09,3198.57,3088.52
C83926,P43565,IL,2024-03-11,8966.83,6168.98,2797.8500000000004
C36514,P43565,IL,2024-04-22,3524.22,2475.8,1048.4199999999996
C75656,P43565,IL,2024-01-15,8190.84,5252.06,2938.7799999999997
C78529,P38218,NC,2024-01-05,55.31,3.59,51.72
C18668,P14174,FL,2024-01-18,3159.01,1649.68,1509.3300000000002
