policy_id,booking_date,premium_booked,taxes,fees
P1315,2024-06-15,2812.96,140.65,20.79
P1316,2024-07-14,4865.6,243.28,90.6
P1317,2024-01-02,4115.98,205.8,97.62
P1318,2024-03-16,3102.83,155.14,43.64
P1319,2024-06-17,2887.94,144.4,50.43
P1320,2024-02-13,2716.68,135.83,66.98
P1321,2024-05-20,3519.19,175.96,97.97
P1322,2024-02-22,-3168.11,158.41,72.21
,2024-03-14,3819.67,190.98,79.65
P1324,2024-04-14,3181.22,159.06,94.22
P1325,2024-07-11,2316.04,115.8,78.95
P1326,2024-04-18,2045.12,102.26,69.69
P1327,2024-03-29,2603.42,130.17,31.3
P1328,2024-06-15,-4438.99,221.95,24.3
P1329,2024-04-02,4925.42,246.27,63.55
P1330,2024-04-06,2967.08,148.35,20.76
P1331,2024-02-17,1260.17,63.01,19.1
P1332,2024-03-20,4619.93,231.0,43.35
P1333,2024-06-23,2587.29,129.36,45.08
P1334,2024-04-25,2526.6,126.33,41.66
P1335,2024-03-14,,41.64,62.05
P1336,2024-04-04,3776.26,188.81,12.09
P1337,2024-01-25,1472.58,73.63,93.02
P1338,2024-06-20,1815.85,90.79,44.82
P1339,2024-06-03,1088.4,54.42,39.08
P1340,2024-01-28,4421.85,221.09,84.25
P1341,2024-02-04,2544.76,127.24,28.07
P1342,2024-05-24,1187.06,59.35,16.23
P1343,2024-05-06,3351.89,167.59,58.35
P1344,2024-02-20,3033.43,151.67,75.66
P1345,2024-05-09,1953.79,97.69,39.1
P1346,2024-07-08,,124.73,87.76
P1347,2024-06-04,4606.64,230.33,46.18
P1348,2024-04-10,2233.46,111.67,63.68
P1349,2024-02-06,777.09,38.85,17.97
P1350,2024-01-19,1286.69,64.33,14.52
P1351,2024-06-20,1467.98,73.4,42.49
P1352,2024-02-06,2789.41,139.47,45.75
P1353,2024-01-15,1359.15,67.96,76.31
,2024-02-10,4919.1,245.96,52.97
,2024-07-10,3343.39,167.17,22.87
P1356,2024-04-20,1829.39,91.47,70.66
P1357,2024-02-20,4325.15,216.26,29.47
P1358,2024-04-05,4026.47,201.32,66.11
P1359,2024-03-27,575.05,28.75,41.21
P1360,2024-03-31,,50.69,28.64
P1361,2024-02-21,3716.85,185.84,90.62
P1362,2024-05-22,3928.18,196.41,52.49
P1363,2024-03-25,4791.69,239.58,90.77
P1364,2024-03-25,692.19,34.61,18.16
P1365,2024-01-27,4350.82,217.54,48.65
P1366,2024-06-30,3597.36,179.87,52.19
P1367,2024-04-07,3569.8,178.49,34.18
P1368,2024-04-15,4024.45,201.22,74.52
P1369,2024-05-31,938.66,46.93,61.81
P1370,2024-03-17,1401.47,70.07,92.01
P1371,2024-06-09,4644.93,232.25,66.75
P1372,2024-04-26,2128.34,106.42,41.01
P1373,2024-03-22,3023.81,151.19,85.99
P1374,2024-01-16,4705.3,235.27,70.67
,2024-05-25,2526.82,126.34,69.39
P1376,2024-03-08,3413.1,170.66,92.53
P1377,2024-05-06,3287.97,164.4,44.16
P1378,2024-03-01,2972.58,148.63,50.96
P1379,2024-03-20,3890.0,194.5,97.56
P1380,2024-02-10,2680.18,134.01,43.32
P1381,2024-01-15,1176.55,58.83,67.53
P1382,2024-05-16,2214.52,110.73,94.02
P1383,2024-04-27,3923.21,196.16,15.23
P1384,2024-06-05,3553.37,177.67,17.18
P1385,2024-04-28,2248.71,112.44,62.18
P1386,2024-01-19,3417.74,170.89,60.09
P1387,2024-06-04,3027.04,151.35,21.36
P1388,2024-04-25,1086.13,54.31,44.18
P1389,2024-04-17,3223.31,161.17,14.26
P1390,2024-03-02,2666.18,133.31,52.94
P1391,2024-03-22,3046.2,152.31,86.12
P1392,2024-03-25,3980.08,199.0,28.8
P1393,2024-05-13,925.3,46.27,79.96
P1394,2024-05-29,3615.93,180.8,50.68
P1395,2024-03-03,1962.12,98.11,99.31
P1396,2024-02-20,967.25,48.36,70.26
P1397,2024-01-29,3839.9,192.0,82.9
P1398,2024-04-01,3499.39,174.97,11.65
P1399,2024-05-21,3689.7,184.49,90.78
P1400,2024-06-13,3862.71,193.14,34.57
P1401,2024-02-21,3083.85,154.19,16.68
P1402,2024-04-14,4640.23,232.01,63.29
P1403,2024-03-26,2158.84,107.94,77.45
P1404,2024-02-17,1126.0,56.3,59.07
P1405,2024-05-15,4210.81,210.54,40.41
P1406,2024-02-25,1356.48,67.82,10.86
P1407,2024-03-26,2318.58,115.93,85.79
P1408,2024-04-18,4749.33,237.47,87.99
P1409,2024-07-01,1788.37,89.42,75.94
P1410,2024-04-17,946.81,47.34,53.22
P1411,2024-05-28,4320.61,216.03,53.69
P1412,2024-06-30,1232.6,61.63,99.35
P1413,2024-06-21,2885.49,144.27,63.62
P1414,2024-03-13,2526.11,126.31,14.0
P1415,2024-05-05,3615.22,180.76,28.06
P1416,2024-07-09,2650.33,132.52,58.9
P1417,2024-04-02,3909.75,195.49,93.87
P1418,2024-07-11,3315.02,165.75,63.15
P1419,2024-05-02,3837.53,191.88,75.76
P1420,2024-02-20,2171.57,108.58,51.73
P1421,2024-05-28,1275.2,63.76,71.66
P1422,2024-03-21,4800.11,240.01,40.21
P1423,2024-04-03,4841.38,242.07,74.14
P1424,2024-02-05,-1912.85,95.64,57.51
P1425,2024-05-28,1493.92,74.7,70.0
P1426,2024-03-10,546.64,27.33,86.92
P1427,2024-05-28,1870.24,93.51,41.96
P1428,2024-05-19,4348.84,217.44,62.1
P1429,2024-01-30,2976.4,148.82,42.99
P1430,2024-04-02,3464.86,173.24,35.4
P1431,2024-06-13,2759.66,137.98,19.57
P1432,2024-03-17,2661.68,133.08,95.19
P1433,2024-06-10,3213.05,160.65,55.95
P1434,2024-03-06,4492.02,224.6,24.47
P1435,2024-04-18,2901.63,145.08,37.79
P1436,2024-01-07,3835.72,191.79,86.44
P1437,2024-02-08,1894.6,94.73,67.5
P1438,2024-06-27,2425.57,121.28,99.54
P1439,2024-04-02,-3785.44,189.27,28.25
P1440,2024-01-12,4403.56,220.18,41.83
P1441,2024-06-30,1188.75,59.44,73.57
P1442,2024-03-13,783.83,39.19,25.66
P1443,2024-03-12,3005.77,150.29,37.41
P1444,2024-03-26,657.3,32.87,22.15
P1445,2024-04-26,3553.2,177.66,76.02
P1446,2024-03-09,2665.64,133.28,41.5
P1447,2024-04-18,4646.53,232.33,13.06
P1448,2024-06-02,1816.57,90.83,27.77
P1449,2024-01-27,1700.03,85.0,93.21
P1450,2024-06-16,2642.34,132.12,44.42
P1451,2024-06-06,4697.89,234.89,30.89
P1452,2024-05-23,5108.45,255.42,96.21
P1453,2024-01-27,2648.89,132.44,73.05
P1454,2024-06-11,,101.08,60.7
,2024-02-02,1270.98,63.55,38.13
P1456,2024-02-05,1184.91,59.25,78.9
P1457,2024-03-01,3618.09,180.9,15.02
P1458,2024-04-10,1319.08,65.95,29.96
P1459,2024-05-29,3789.64,189.48,74.15
P1460,2024-05-12,2601.78,130.09,98.19
P1461,2024-04-16,-2647.55,132.38,63.35
P1462,2024-06-25,4443.66,222.18,59.71
P1463,2024-05-14,4221.05,211.05,45.35
P1464,2024-04-17,3298.83,164.94,35.77
P1465,2024-06-24,2672.94,133.65,76.24
P1466,2024-06-03,2500.33,125.02,50.93
P1467,2024-03-30,1006.49,50.32,41.84
P1468,2024-03-03,1541.18,77.06,25.8
P1469,2024-05-26,721.27,36.06,84.47
P1470,2024-05-10,4500.41,225.02,84.95
P1471,2024-04-07,4987.07,249.35,56.35
P1472,2024-06-20,4028.68,201.43,28.81
P1473,2024-04-06,4788.63,239.43,76.04
P1474,2024-05-14,2715.88,135.79,32.99
P1475,2024-06-11,1447.52,72.38,21.38
P1476,2024-03-28,1043.99,52.2,45.82
P1477,2024-03-16,3246.54,162.33,23.16
P1478,2024-05-23,4486.0,224.3,10.17
P1479,2024-03-26,569.49,28.47,21.53
P1480,2024-05-25,1342.17,67.11,32.63
P1481,2024-07-06,3914.22,195.71,11.41
P1482,2024-01-25,3312.12,165.61,25.2
P1483,2024-02-22,3418.63,170.93,83.3
P1484,2024-03-14,2330.2,116.51,30.73
P1485,2024-02-19,575.76,28.79,19.91
P1486,2024-05-18,2308.76,115.44,52.24
P1487,2024-02-03,4525.62,226.28,73.75
P1488,2024-07-23,2284.45,114.22,61.33
P1489,2024-04-30,485.49,24.27,17.08
P1490,2024-02-17,2029.97,101.5,48.15
P1491,2024-07-01,4998.35,249.92,15.29
P1492,2024-02-22,2230.63,111.53,82.62
P1493,2024-05-26,3236.43,161.82,31.12
P1494,2024-07-20,4113.85,205.69,83.0
P1495,2024-01-13,1824.68,91.23,60.54
P1496,2024-03-13,804.76,40.24,11.23
P1497,2024-04-19,1338.55,66.93,21.92
P1498,2024-03-02,4114.64,205.73,83.5
P1499,2024-05-17,2358.48,117.92,17.34
P1500,2024-02-06,4373.61,218.68,58.78
P1501,2024-05-31,1449.49,72.47,44.09
P1502,2024-04-12,3203.71,160.19,22.23
P1503,2024-05-15,2449.58,122.48,61.1
P1504,2024-03-04,2299.28,114.96,28.68
P1505,2024-02-17,3267.02,163.35,12.41
P1506,2024-02-16,3779.78,188.99,59.85
P1507,2024-04-11,3737.78,186.89,65.4
P1508,2024-05-12,2986.58,149.33,15.59
P1509,2024-05-24,1587.93,79.4,98.86
P1510,2024-02-13,2994.27,149.71,10.33
P1511,2024-03-16,4153.66,207.68,95.55
P1512,2024-01-19,4428.83,221.44,70.83
P1513,2024-06-05,765.65,38.28,92.18
P1514,2024-03-18,4026.97,201.35,78.03
P1515,2024-05-18,1094.24,54.71,25.6
P1516,2024-02-09,2811.53,140.58,33.04
P1517,2024-03-11,2854.88,142.74,94.86
P1518,2024-03-15,3105.04,155.25,64.42
P1519,2024-01-22,,225.83,25.35
P1520,2024-04-07,3569.28,178.46,44.24
P1521,2024-02-25,3596.7,179.84,63.14
P1522,2024-03-22,3820.0,191.0,48.74
P1523,2024-07-16,3313.16,165.66,23.68
P1524,2024-02-02,913.42,45.67,79.59
P1525,2024-04-16,1738.23,86.91,56.22
P1526,2024-05-15,3302.37,165.12,14.85
P1527,2024-05-14,765.71,38.29,98.4
P1528,2024-03-15,2309.8,115.49,59.65
P1529,2024-04-08,1364.56,68.23,26.32
P1530,2024-04-21,3251.11,162.56,21.4
P1531,2024-03-30,4189.26,209.46,23.95
P1532,2024-06-26,1826.87,91.34,87.17
P1533,2024-03-25,,28.67,84.84
P1534,2024-03-23,857.41,42.87,92.24
,2024-07-05,931.09,46.55,76.14
P1536,2024-04-27,3251.74,162.59,65.25
P1537,2024-06-15,3252.64,162.63,90.37
P1538,2024-07-06,1911.26,95.56,60.71
P1539,2024-02-06,1005.53,50.28,82.83
,2024-02-23,4509.01,225.45,19.97
P1541,2024-04-27,4614.45,230.72,15.61
P1542,2024-03-07,2733.6,136.68,91.71
P1543,2024-06-25,3849.55,192.48,74.51
P1544,2024-05-09,2460.23,123.01,51.92
P1545,2024-02-19,2842.72,142.14,15.86
P1546,2024-06-21,3154.3,157.72,65.95
P1547,2024-04-19,4566.88,228.34,24.08
P1548,2024-04-30,3070.7,153.53,18.02
P1549,2024-07-09,1393.74,69.69,47.16
P1550,2024-06-16,631.37,31.57,27.82
P1551,2024-03-24,4175.33,208.77,99.47
P1552,2024-05-09,2085.51,104.28,29.03
P1553,2024-02-27,,237.38,22.74
P1554,2024-07-16,1844.1,92.2,74.0
P1555,2024-01-31,1463.39,73.17,34.5
P1556,2024-06-02,2491.12,124.56,92.6
P1557,2024-07-03,3233.62,161.68,33.2
P1558,2024-07-04,1711.0,85.55,74.94
P1559,2024-06-15,1677.23,83.86,20.74
P1560,2024-02-09,4204.39,210.22,11.15
P1561,2024-03-03,3450.19,172.51,12.72
P1562,2024-01-26,4053.09,202.65,22.38
P1563,2024-05-22,3251.35,162.57,60.89
P1564,2024-01-12,1377.31,68.87,55.83
P1565,2024-06-11,977.37,48.87,70.33
P1566,2024-05-02,4568.0,228.4,31.24
P1567,2024-06-16,3162.88,158.14,46.51
P1568,2024-02-03,2755.14,137.76,77.6
P1569,2024-02-08,3000.7,150.03,59.08
P1570,2024-07-03,1975.87,98.79,56.42
P1571,2024-02-12,4645.32,232.27,75.83
P1572,2024-01-25,3641.0,182.05,41.6
P1573,2024-05-14,3431.5,171.58,52.11
P1574,2024-05-31,1490.73,74.54,83.8
P1575,2024-05-22,2231.78,111.59,88.9
P1576,2024-06-12,-2217.42,110.87,11.64
P1577,2024-05-22,3931.19,196.56,49.34
P1578,2024-03-08,2383.37,119.17,86.4
P1579,2024-04-20,4427.61,221.38,92.68
P1580,2024-05-20,2866.02,143.3,42.0
P1581,2024-04-21,4274.23,213.71,18.6
P1582,2024-04-02,3571.41,178.57,96.05
P1583,2024-06-07,1498.62,74.93,40.34
P1584,2024-01-27,572.97,28.65,45.43
,2024-05-09,1896.31,94.82,27.46
P1586,2024-07-17,2925.04,146.25,81.22
