policy_id,effective_date,written_premium,product,state,broker
P1127,2024-04-10,1084.71,Multi-Family,NC,Broker B
P1128,2024-03-20,2904.86,Landlord,GA,Broker B
P1129,2024-01-30,2899.95,Landlord,GA,Broker C
P1130,2024-01-31,,Landlord,GA,Broker B
P1131,2024-06-07,2901.13,Short Term Rental,IL,Broker C
P1132,2024-04-05,4766.21,Short Term Rental,TX,Broker A
P1133,2024-02-06,825.09,Short Term Rental,IL,Broker B
P1134,2024-03-23,1689.78,Landlord,TX,Broker B
P1135,2024-04-05,3665.2,Short Term Rental,NC,Broker B
P1136,2024-02-04,2776.69,Short Term Rental,IL,Broker C
P1137,2024-04-10,3633.13,Landlord,GA,Broker C
P1138,2024-02-11,1402.59,Multi-Family,GA,Broker B
P1139,2024-06-06,646.95,Short Term Rental,NC,Broker A
P1140,2024-06-09,3361.36,Landlord,FL,Broker A
P1141,2024-01-13,4645.12,Short Term Rental,TX,Broker C
P1142,2024-04-06,1518.5,Multi-Family,FL,Broker C
,2024-06-08,2320.55,Short Term Rental,NC,Broker C
P1144,2024-02-16,3695.54,Multi-Family,TX,Broker C
,2024-02-06,2653.67,Landlord,IL,Broker C
,2024-05-02,2161.18,Landlord,NC,Broker C
P1147,2024-05-10,1403.9,Landlord,GA,Broker C
P1148,2024-01-10,4998.36,Short Term Rental,GA,Broker C
P1149,2024-05-29,2103.63,Short Term Rental,IL,Broker C
P1150,2024-01-22,1922.3,Multi-Family,GA,Broker C
P1151,2024-02-17,3970.33,Short Term Rental,NC,Broker C
P1152,2024-02-18,,Short Term Rental,IL,Broker C
P1153,2024-01-01,4756.37,Multi-Family,GA,Broker A
P1154,2024-04-14,3810.93,Short Term Rental,GA,Broker B
P1155,2024-01-13,4993.05,Short Term Rental,IL,Broker C
P1156,2024-01-16,4323.46,Multi-Family,GA,Broker C
P1157,2024-04-23,2475.08,Landlord,TX,Broker C
P1158,2024-01-25,4258.17,Multi-Family,FL,Broker A
P1159,2024-05-06,,Landlord,GA,Broker A
P1160,2024-04-18,2938.63,Multi-Family,NC,Broker C
P1161,2024-02-14,669.87,Landlord,IL,Broker B
P1162,2024-04-01,1581.71,Landlord,GA,Broker B
,2024-05-04,3169.0,Multi-Family,TX,Broker B
P1164,2024-05-14,1394.08,Short Term Rental,NC,Broker C
P1165,2024-01-15,1289.65,Multi-Family,NC,Broker B
P1166,2024-03-09,4957.65,Landlord,FL,Broker A
P1167,2024-03-14,3553.24,Multi-Family,IL,Broker A
P1168,2024-03-02,3085.97,Short Term Rental,GA,Broker A
P1169,2024-01-30,1625.48,Short Term Rental,NC,Broker C
,2024-03-28,4795.14,Landlord,FL,Broker A
P1171,2024-02-13,2127.56,Short Term Rental,TX,Broker C
P1172,2024-02-10,1918.63,Landlord,IL,Broker B
P1173,2024-02-23,1793.02,Short Term Rental,FL,Broker B
P1174,2024-03-13,2125.64,Landlord,FL,Broker C
P1175,2024-05-22,2522.84,Short Term Rental,GA,Broker A
P1176,2024-01-30,4578.79,Landlord,FL,Broker A
P1177,2024-01-04,1659.96,Landlord,FL,Broker C
P1178,2024-06-18,811.24,Short Term Rental,FL,Broker B
P1179,2024-06-19,4674.32,Multi-Family,GA,Broker B
P1180,2024-06-20,1673.68,Short Term Rental,NC,Broker B
P1181,2024-06-19,1948.88,Landlord,TX,Broker B
P1182,2024-06-22,1526.04,Landlord,TX,Broker A
P1183,2024-03-25,4880.9,Short Term Rental,TX,Broker C
P1184,2024-03-01,2912.82,Short Term Rental,TX,Broker C
P1185,2024-01-22,4698.8,Landlord,NC,Broker B
P1186,2024-05-06,2339.54,Landlord,IL,Broker A
P1187,2024-03-17,2104.06,Landlord,FL,Broker C
P1188,2024-04-29,3581.03,Multi-Family,IL,Broker A
P1189,2024-05-11,3519.71,Multi-Family,IL,Broker C
P1190,2024-06-12,1765.21,Landlord,GA,Broker C
P1191,2024-01-14,2336.44,Short Term Rental,IL,Broker C
P1192,2024-05-06,2207.61,Multi-Family,TX,Broker B
P1193,2024-04-23,3348.39,Multi-Family,NC,Broker B
P1194,2024-05-26,1565.06,Short Term Rental,GA,Broker A
P1195,2024-01-23,603.42,Short Term Rental,NC,Broker B
P1196,2024-02-23,4026.44,Multi-Family,FL,Broker C
P1197,2024-04-05,4730.6,Multi-Family,TX,Broker B
P1198,2024-06-24,,Multi-Family,GA,Broker C
P1199,2024-06-06,4715.46,Multi-Family,TX,Broker C
P1200,2024-06-19,1776.33,Short Term Rental,GA,Broker A
P1201,2024-05-01,3176.06,Short Term Rental,IL,Broker A
P1202,2024-06-21,3643.32,Landlord,TX,Broker A
P1203,2024-03-31,3778.68,Short Term Rental,GA,Broker C
P1204,2024-02-20,1754.16,Multi-Family,NC,Broker A
P1205,2024-05-23,3867.75,Multi-Family,NC,Broker A
P1206,2024-02-24,1905.32,Short Term Rental,IL,Broker C
P1207,2024-06-23,1517.35,Short Term Rental,FL,Broker A
P1208,2024-05-31,4182.04,Landlord,TX,Broker B
P1209,2024-05-22,4100.63,Short Term Rental,NC,Broker A
P1210,2024-02-09,3623.07,Short Term Rental,IL,Broker C
P1211,2024-02-05,4204.43,Short Term Rental,TX,Broker C
P1212,2024-05-15,821.57,Short Term Rental,IL,Broker A
P1213,2024-05-17,657.54,Short Term Rental,FL,Broker B
,2024-03-04,4580.52,Short Term Rental,NC,Broker B
P1215,2024-04-17,2444.04,Landlord,IL,Broker A
P1216,2024-03-06,3455.19,Short Term Rental,GA,Broker B
P1217,2024-01-21,1567.36,Multi-Family,TX,Broker A
P1218,2024-02-28,3913.57,Short Term Rental,FL,Broker C
P1219,2024-04-22,4771.17,Short Term Rental,IL,Broker B
P1220,2024-05-08,1119.97,Short Term Rental,TX,Broker C
,2024-04-07,2199.65,Landlord,NC,Broker B
P1222,2024-03-08,2706.0,Landlord,NC,Broker B
P1223,2024-01-24,578.6,Short Term Rental,TX,Broker B
P1224,2024-04-28,2924.09,Landlord,NC,Broker C
P1225,2024-05-08,2857.74,Multi-Family,GA,Broker C
P1226,2024-04-16,4857.6,Short Term Rental,IL,Broker C
P1227,2024-04-23,1318.6,Short Term Rental,IL,Broker A
P1228,2024-05-30,825.76,Short Term Rental,FL,Broker C
P1229,2024-02-07,4012.71,Landlord,FL,Broker C
P1230,2024-04-22,2877.86,Landlord,TX,Broker A
P1231,2024-03-27,3922.63,Multi-Family,NC,Broker B
P1232,2024-03-25,904.25,Landlord,IL,Broker A
P1233,2024-03-31,3579.39,Short Term Rental,TX,Broker C
P1234,2024-06-20,4466.91,Short Term Rental,FL,Broker B
P1235,2024-05-01,4326.97,Short Term Rental,NC,Broker A
P1236,2024-06-13,1670.89,Short Term Rental,NC,Broker B
P1237,2024-06-18,4662.35,Landlord,FL,Broker C
P1238,2024-02-03,2703.57,Short Term Rental,FL,Broker C
P1239,2024-03-13,1115.53,Short Term Rental,GA,Broker C
P1240,2024-04-28,4096.96,Short Term Rental,GA,Broker C
P1241,2024-01-20,3346.59,Short Term Rental,NC,Broker C
P1242,2024-01-29,1627.64,Landlord,FL,Broker A
P1243,2024-04-05,2766.61,Landlord,GA,Broker B
P1244,2024-06-25,2257.04,Short Term Rental,TX,Broker A
P1245,2024-06-15,2849.92,Multi-Family,IL,Broker A
P1246,2024-02-05,3403.82,Landlord,GA,Broker A
P1247,2024-04-18,2804.09,Short Term Rental,GA,Broker A
P1248,2024-02-14,1558.83,Short Term Rental,TX,Broker A
P1249,2024-02-26,,Short Term Rental,TX,Broker B
P1250,2024-01-10,2551.87,Short Term Rental,TX,Broker B
P1251,2024-01-07,4851.29,Multi-Family,FL,Broker B
P1252,2024-01-31,569.72,Multi-Family,NC,Broker A
P1253,2024-01-02,4649.2,Short Term Rental,IL,Broker C
P1254,2024-01-09,2904.55,Multi-Family,TX,Broker A
P1255,2024-05-08,590.54,Multi-Family,TX,Broker C
P1256,2024-05-28,1123.37,Short Term Rental,GA,Broker A
P1257,2024-03-26,4399.53,Multi-Family,TX,Broker A
P1258,2024-05-23,3784.48,Short Term Rental,NC,Broker A
P1259,2024-01-14,1227.98,Short Term Rental,IL,Broker A
P1260,2024-04-10,601.21,Short Term Rental,GA,Broker B
P1261,2024-01-02,4288.21,Multi-Family,NC,Broker C
P1262,2024-03-16,1071.86,Short Term Rental,GA,Broker B
P1263,2024-02-17,4632.83,Landlord,GA,Broker A
P1264,2024-06-01,2252.89,Short Term Rental,NC,Broker B
P1265,2024-01-12,689.07,Landlord,FL,Broker A
P1266,2024-06-08,3520.04,Landlord,IL,Broker A
P1267,2024-05-29,4343.86,Short Term Rental,GA,Broker B
P1268,2024-06-29,721.35,Landlord,FL,Broker A
P1269,2024-05-05,1765.81,Multi-Family,TX,Broker B
P1270,2024-05-18,1594.98,Landlord,TX,Broker C
P1271,2024-02-19,2711.82,Multi-Family,NC,Broker A
P1272,2024-03-18,3856.83,Short Term Rental,FL,Broker A
P1273,2024-05-03,2435.57,Landlord,TX,Broker C
,2024-01-13,725.74,Short Term Rental,GA,Broker C
P1275,2024-06-14,4725.12,Multi-Family,IL,Broker C
P1276,2024-06-23,4931.04,Short Term Rental,NC,Broker C
P1277,2024-04-21,1591.87,Short Term Rental,GA,Broker B
P1278,2024-03-06,923.11,Landlord,FL,Broker A
P1279,2024-01-29,4844.5,Landlord,GA,Broker C
P1280,2024-04-25,2091.59,Landlord,FL,Broker A
P1281,2024-02-09,2569.9,Short Term Rental,GA,Broker C
,2024-05-01,2724.85,Multi-Family,TX,Broker B
P1283,2024-03-13,4298.61,Landlord,GA,Broker A
P1284,2024-01-23,,Multi-Family,IL,Broker A
P1285,2024-01-31,4854.18,Short Term Rental,GA,Broker C
P1286,2024-06-08,1022.66,Short Term Rental,IL,Broker B
P1287,2024-03-04,781.2,Short Term Rental,NC,Broker A
,2024-01-05,3182.86,Landlord,IL,Broker B
P1289,2024-06-11,2099.69,Multi-Family,NC,Broker C
P1290,2024-05-01,2155.69,Landlord,FL,Broker B
P1291,2024-02-27,1888.87,Multi-Family,TX,Broker B
P1292,2024-03-01,3633.66,Short Term Rental,IL,Broker B
P1293,2024-06-14,2063.27,Landlord,FL,Broker C
P1294,2024-03-13,1538.88,Short Term Rental,IL,Broker C
P1295,2024-01-29,1174.05,Multi-Family,TX,Broker B
P1296,2024-04-18,4841.41,Multi-Family,GA,Broker B
P1297,2024-06-08,2912.1,Multi-Family,IL,Broker C
P1298,2024-02-28,1413.43,Short Term Rental,GA,Broker C
P1299,2024-02-09,1696.7,Short Term Rental,TX,Broker B
P1300,2024-02-21,866.21,Short Term Rental,IL,Broker C
P1301,2024-06-10,4138.02,Short Term Rental,NC,Broker A
P1302,2024-01-14,2213.56,Multi-Family,GA,Broker B
P1303,2024-03-25,4941.6,Landlord,IL,Broker B
P1304,2024-06-21,1652.39,Short Term Rental,NC,Broker B
P1305,2024-06-06,2520.47,Short Term Rental,NC,Broker B
P1306,2024-05-17,897.45,Short Term Rental,IL,Broker A
P1307,2024-06-25,3754.19,Multi-Family,IL,Broker A
P1308,2024-04-20,694.22,Short Term Rental,IL,Broker A
P1309,2024-05-24,,Short Term Rental,TX,Broker A
P1310,2024-04-25,3074.62,Short Term Rental,IL,Broker C
P1311,2024-02-07,2035.1,Landlord,IL,Broker B
P1312,2024-05-09,3722.03,Short Term Rental,GA,Broker C
P1313,2024-01-24,1294.58,Landlord,IL,Broker A
P1314,2024-04-06,4571.47,Short Term Rental,TX,Broker A
P1315,2024-06-10,2679.01,Multi-Family,FL,Broker C
P1316,2024-06-14,4865.6,Multi-Family,FL,Broker C
P1317,2024-01-02,4115.98,Short Term Rental,GA,Broker A
P1318,2024-03-03,3102.83,Landlord,GA,Broker B
P1319,2024-06-16,3039.94,Short Term Rental,TX,Broker C
P1320,2024-02-08,2859.66,Short Term Rental,NC,Broker C
P1321,2024-05-13,3704.41,Landlord,FL,Broker C
P1322,2024-02-04,3168.11,Multi-Family,FL,Broker C
P1323,2024-03-12,3819.67,Multi-Family,GA,Broker A
P1324,2024-03-16,3181.22,Multi-Family,NC,Broker C
P1325,2024-06-27,2316.04,Short Term Rental,NC,Broker B
P1326,2024-04-12,2045.12,Multi-Family,TX,Broker B
P1327,2024-03-12,2603.42,Short Term Rental,GA,Broker C
P1328,2024-05-22,4227.61,Short Term Rental,IL,Broker B
P1329,2024-04-01,4690.88,Short Term Rental,TX,Broker B
P1330,2024-03-25,3123.24,Multi-Family,IL,Broker C
P1331,2024-02-16,1200.16,Landlord,IL,Broker C
P1332,2024-03-19,4619.93,Multi-Family,IL,Broker C
P1333,2024-06-01,2587.29,Landlord,IL,Broker A
P1334,2024-03-27,2526.6,Multi-Family,NC,Broker B
P1335,2024-03-02,793.21,Landlord,NC,Broker C
,2024-03-07,3596.44,Landlord,FL,Broker A
P1337,2024-01-16,1472.58,Landlord,NC,Broker B
P1338,2024-05-26,1815.85,Landlord,FL,Broker C
P1339,2024-05-17,1145.68,Short Term Rental,GA,Broker A
P1340,2024-01-19,4654.58,Landlord,FL,Broker B
P1341,2024-01-09,2678.69,Landlord,GA,Broker A
P1342,2024-05-11,1187.06,Short Term Rental,FL,Broker A
P1343,2024-04-11,3528.31,Short Term Rental,TX,Broker A
P1344,2024-02-11,3193.08,Short Term Rental,NC,Broker A
P1345,2024-05-05,2056.62,Landlord,GA,Broker C
P1346,2024-06-17,2494.7,Multi-Family,NC,Broker C
P1347,2024-05-16,4606.64,Landlord,IL,Broker A
P1348,2024-04-03,2233.46,Landlord,IL,Broker A
P1349,2024-01-16,740.09,Landlord,GA,Broker B
P1350,2024-01-12,1286.69,Multi-Family,FL,Broker B
P1351,2024-06-05,1467.98,Short Term Rental,TX,Broker A
P1352,2024-02-05,2936.22,Short Term Rental,FL,Broker C
P1353,2024-01-09,1359.15,Short Term Rental,GA,Broker C
P1354,2024-02-01,4919.1,Short Term Rental,GA,Broker C
P1355,2024-06-12,3343.39,Multi-Family,GA,Broker A
P1356,2024-03-27,1829.39,Multi-Family,FL,Broker A
P1357,2024-02-02,4325.15,Short Term Rental,GA,Broker A
P1358,2024-03-30,4026.47,Multi-Family,NC,Broker C
P1359,2024-02-26,575.05,Multi-Family,TX,Broker A
P1360,2024-03-14,1013.87,Landlord,NC,Broker A
P1361,2024-01-22,3716.85,Landlord,FL,Broker B
P1362,2024-05-11,3741.12,Short Term Rental,FL,Broker C
P1363,2024-03-22,4791.69,Landlord,TX,Broker B
P1364,2024-03-03,692.19,Multi-Family,NC,Broker B
P1365,2024-01-24,4350.82,Landlord,FL,Broker B
P1366,2024-06-11,3786.69,Multi-Family,TX,Broker C
P1367,2024-03-26,3569.8,Landlord,TX,Broker A
P1368,2024-04-02,4024.45,Landlord,FL,Broker B
P1369,2024-05-23,938.66,Short Term Rental,GA,Broker A
P1370,2024-03-14,1475.23,Multi-Family,GA,Broker A
P1371,2024-05-30,4644.93,Short Term Rental,IL,Broker B
P1372,2024-04-22,2128.34,Landlord,GA,Broker A
P1373,2024-02-29,3023.81,Short Term Rental,FL,Broker B
P1374,2024-01-08,4481.24,Short Term Rental,NC,Broker B
P1375,2024-05-22,2659.81,Multi-Family,TX,Broker A
P1376,2024-03-08,3413.1,Short Term Rental,GA,Broker A
P1377,2024-04-22,3461.02,Landlord,NC,Broker B
P1378,2024-02-06,2972.58,Short Term Rental,NC,Broker B
P1379,2024-02-20,3890.0,Multi-Family,NC,Broker C
P1380,2024-02-10,2680.18,Multi-Family,TX,Broker A
P1381,2024-01-14,1176.55,Short Term Rental,GA,Broker A
P1382,2024-04-19,2331.07,Landlord,GA,Broker A
P1383,2024-04-22,4129.7,Short Term Rental,NC,Broker C
P1384,2024-05-12,3740.39,Landlord,NC,Broker A
P1385,2024-04-02,2141.63,Landlord,GA,Broker B
P1386,2024-01-06,3254.99,Landlord,GA,Broker A
P1387,2024-05-05,3027.04,Landlord,NC,Broker A
P1388,2024-04-12,1086.13,Multi-Family,FL,Broker B
P1389,2024-04-06,3223.31,Short Term Rental,IL,Broker A
P1390,2024-02-10,2806.51,Landlord,IL,Broker A
P1391,2024-02-27,,Multi-Family,GA,Broker C
P1392,2024-03-23,4189.56,Multi-Family,GA,Broker A
P1393,2024-04-22,974.0,Landlord,TX,Broker C
P1394,2024-05-24,3806.24,Landlord,FL,Broker C
P1395,2024-02-02,1962.12,Short Term Rental,IL,Broker C
P1396,2024-01-31,1018.16,Short Term Rental,FL,Broker B
P1397,2024-01-17,3839.9,Short Term Rental,NC,Broker A
P1398,2024-03-28,3499.39,Short Term Rental,FL,Broker C
P1399,2024-05-16,3689.7,Short Term Rental,IL,Broker C
P1400,2024-06-02,3862.71,Multi-Family,FL,Broker A
P1401,2024-02-12,3083.85,Short Term Rental,GA,Broker C
P1402,2024-04-12,4884.45,Landlord,TX,Broker A
P1403,2024-03-13,2272.46,Landlord,GA,Broker A
P1404,2024-02-05,,Landlord,GA,Broker C
P1405,2024-05-13,4210.81,Landlord,IL,Broker A
P1406,2024-02-24,1427.87,Multi-Family,IL,Broker C
P1407,2024-03-20,2440.61,Landlord,GA,Broker B
P1408,2024-03-20,4749.33,Short Term Rental,NC,Broker C
P1409,2024-06-22,1788.37,Multi-Family,GA,Broker C
P1410,2024-03-28,996.64,Short Term Rental,IL,Broker A
P1411,2024-05-21,4114.87,Multi-Family,GA,Broker A
P1412,2024-06-10,1173.9,Short Term Rental,GA,Broker A
P1413,2024-05-29,2885.49,Short Term Rental,TX,Broker C
P1414,2024-03-05,2405.82,Landlord,TX,Broker C
P1415,2024-04-26,3443.07,Multi-Family,TX,Broker A
P1416,2024-06-22,2650.33,Landlord,FL,Broker B
P1417,2024-03-10,3909.75,Landlord,GA,Broker C
P1418,2024-06-21,3489.5,Multi-Family,IL,Broker C
P1419,2024-04-19,3837.53,Landlord,NC,Broker A
P1420,2024-01-25,2068.16,Landlord,TX,Broker A
P1421,2024-04-30,1342.32,Multi-Family,GA,Broker A
P1422,2024-03-14,4800.11,Short Term Rental,TX,Broker B
P1423,2024-04-01,4841.38,Short Term Rental,IL,Broker C
P1424,2024-02-02,1912.85,Landlord,NC,Broker A
P1425,2024-05-19,1493.92,Landlord,IL,Broker A
P1426,2024-02-13,546.64,Multi-Family,GA,Broker C
P1427,2024-05-20,1968.67,Multi-Family,GA,Broker C
P1428,2024-04-27,4348.84,Short Term Rental,IL,Broker B
P1429,2024-01-28,2976.4,Short Term Rental,IL,Broker C
P1430,2024-03-04,3464.86,Landlord,IL,Broker B
P1431,2024-05-29,2759.66,Multi-Family,GA,Broker C
,2024-02-29,2534.93,Short Term Rental,TX,Broker A
P1433,2024-06-08,3060.05,Landlord,TX,Broker A
P1434,2024-03-02,4492.02,Multi-Family,IL,Broker A
P1435,2024-04-09,2901.63,Short Term Rental,TX,Broker A
P1436,2024-01-05,3835.72,Multi-Family,IL,Broker B
P1437,2024-01-10,1994.32,Multi-Family,FL,Broker C
P1438,2024-06-02,2553.23,Short Term Rental,IL,Broker A
P1439,2024-03-22,3785.44,Landlord,IL,Broker A
P1440,2024-01-01,4403.56,Short Term Rental,FL,Broker A
P1441,2024-06-03,1188.75,Short Term Rental,NC,Broker B
P1442,2024-02-14,783.83,Multi-Family,IL,Broker A
P1443,2024-02-12,3005.77,Multi-Family,GA,Broker C
P1444,2024-03-15,691.9,Multi-Family,GA,Broker A
P1445,2024-03-30,3553.2,Multi-Family,GA,Broker B
P1446,2024-03-08,2665.64,Landlord,FL,Broker A
P1447,2024-04-01,4646.53,Landlord,TX,Broker C
,2024-05-23,1816.57,Landlord,TX,Broker A
P1449,2024-01-08,1619.08,Short Term Rental,NC,Broker B
P1450,2024-06-10,2642.34,Short Term Rental,TX,Broker B
P1451,2024-05-18,4697.89,Short Term Rental,NC,Broker C
P1452,2024-04-26,4865.19,Short Term Rental,NC,Broker C
P1453,2024-01-10,2788.31,Multi-Family,FL,Broker A
P1454,2024-05-26,2021.51,Multi-Family,GA,Broker B
P1455,2024-01-28,1270.98,Short Term Rental,FL,Broker A
P1456,2024-01-24,1128.49,Multi-Family,TX,Broker A
P1457,2024-03-01,3618.09,Landlord,NC,Broker C
